Region,Farm,Survey,Distance,Time,Temp,RH,Wind,Anisoptera sp,Chrysomya_spp,Chrysoperla_sp,Culicidae_spp,Diptera fly sp5,Diptera fly sp7,Formicidae sp5,Formicidae sp6,Hemiptera bug sp,Hesperidae sp3,Hymenoptera wasp sp4,Lepidoptera moth sp10,Lepidoptera moth sp11,Lepidoptera moth sp12,Lepidoptera moth sp13,Lepidoptera moth sp14,Lepidoptera moth sp15,Lepidoptera moth sp16,Lepidoptera moth sp17,Lepidoptera moth sp18,Lepidoptera moth sp19,Lepidoptera moth sp20,Lepidoptera moth sp21,Lepidoptera moth sp22,Lepidoptera moth sp23,Lepidoptera moth sp24,Lepidoptera moth sp25,Lepidoptera moth sp4,Lepidoptera moth sp26,Lepidoptera moth sp27,Lepidoptera moth sp5,Lepidoptera moth sp6,Lepidoptera moth sp7,Lepidoptera moth sp8,Lepidoptera moth sp9,Utethesia_pulchelloides,Zygoptera sp,Total
Darwin,D2,Nocturnal,150,21:01-00:00,20.5,76,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Darwin,D2,Nocturnal,150,21:01-00:00,22.4,68,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Darwin,D2,Nocturnal,150,21:01-00:00,21.8,71,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Darwin,D2,Nocturnal,200,21:01-00:00,19.8,78,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darwin,D2,Nocturnal,200,21:01-00:00,21.4,75,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darwin,D2,Nocturnal,200,21:01-00:00,21.2,74,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darwin,D3,Nocturnal,0,21:01-00:00,21.7,78,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Darwin,D3,Nocturnal,0,21:01-00:00,22.8,70,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Darwin,D3,Nocturnal,0,21:01-00:00,21.3,76,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3
Darwin,D3,Nocturnal,50,21:01-00:00,21.7,76,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
